Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",78.800000,-63.200000,90.000000,top
"C2","1u","C_0402_1005Metric",98.100000,-54.120000,-90.000000,top
"C4","100n","C_0402_1005Metric",84.650000,-61.900000,90.000000,top
"C5","100n","C_0402_1005Metric",82.400000,-57.175000,90.000000,top
"C6","100n","C_0402_1005Metric",78.350000,-65.500000,90.000000,top
"C7","4u7","C_0805_2012Metric",95.600000,-54.200000,0.000000,top
"C8","4u7","C_0805_2012Metric",80.900000,-56.425000,90.000000,top
"C9","1u","C_0402_1005Metric",69.800000,-69.700000,-90.000000,top
"C10","100n","C_0402_1005Metric",96.200000,-63.000000,-90.000000,top
"C11","4u7","C_0805_2012Metric",68.250000,-68.250000,90.000000,top
"C12","100n","C_0402_1005Metric",83.350000,-62.000000,-90.000000,top
"C13","4u7","C_0805_2012Metric",81.850000,-62.800000,-90.000000,top
"C14","1u","C_0402_1005Metric",69.800000,-67.750000,90.000000,top
"C15","100n","C_0402_1005Metric",86.850000,-53.800000,90.000000,top
"C16","100n","C_0402_1005Metric",90.000000,-54.550000,180.000000,top
"C17","4u7","C_0805_2012Metric",97.700000,-57.000000,90.000000,top
"C18","100n","C_0402_1005Metric",96.200000,-59.150000,90.000000,top
"C19","100n","C_0402_1005Metric",94.180000,-66.250000,0.000000,top
"C22","33p C0G","C_0402_1005Metric",85.000000,-50.750000,90.000000,top
"C23","33p C0G","C_0402_1005Metric",81.200000,-53.750000,180.000000,top
"C24","100n","C_0402_1005Metric",79.400000,-65.500000,90.000000,top
"C25","100n","C_0402_1005Metric",82.250000,-65.350000,180.000000,top
"C26","1u","C_0402_1005Metric",93.300000,-54.280000,90.000000,top
"C27","4u7","C_0805_2012Metric",75.700000,-68.550000,-90.000000,top
"D2","LED","LED_0805_2012Metric",73.450000,-50.950000,180.000000,top
"D3","LED","LED_0805_2012Metric",73.450000,-53.350000,180.000000,top
"FB1","FerriteBead_Small","L_0603_1608Metric",78.350000,-55.600000,180.000000,top
"FB2","FerriteBead_Small","L_0603_1608Metric",80.100000,-62.637500,-90.000000,top
"J1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",100.160000,-50.850000,90.000000,top
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",86.520000,-68.500000,-90.000000,top
"P1","USB_C_Plug_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",70.500000,-60.500000,-90.000000,top
"R1","10k","R_0603_1608Metric",87.150000,-51.950000,180.000000,top
"R2","2k2","R_0603_1608Metric",94.000000,-51.500000,90.000000,top
"R3","10k","R_0603_1608Metric",95.550000,-51.500000,90.000000,top
"R4","12k 1%","R_0603_1608Metric",79.150000,-57.925000,-90.000000,top
"R5","10k","R_0603_1608Metric",87.575000,-50.400000,180.000000,top
"R6","10k","R_0603_1608Metric",84.000000,-64.550000,-90.000000,top
"R7","56k","R_0603_1608Metric",77.600000,-57.925000,-90.000000,top
"R8","56k","R_0603_1608Metric",76.950000,-61.950000,-90.000000,top
"R11","330R","R_0603_1608Metric",77.700000,-51.350000,0.000000,top
"R14","330R","R_0603_1608Metric",77.700000,-52.950000,0.000000,top
"U1","XC6206PxxxMR","SOT-23-3",72.437500,-68.550000,180.000000,top
"U4","93LCxxAxxOT","SOT-23-6",91.100000,-51.500000,180.000000,top
"U5","FT2232HQ","QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm",90.450000,-60.500000,0.000000,top
"U7","PG_Logic_10_Pin_Tag_Connect_Programmer_Header","CH87102V200",104.080000,-56.690000,0.000000,top
"Y1","12.000 MHz,  C9002 ","Crystal_SMD_3225-4Pin_3.2x2.5mm",82.350000,-51.500000,180.000000,top
