Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,78.8,-63.2,90,top
C2,1u,C_0402_1005Metric,98.1,-54.12,-90,top
C4,100n,C_0402_1005Metric,84.65,-61.9,90,top
C5,100n,C_0402_1005Metric,82.4,-57.175,90,top
C6,100n,C_0402_1005Metric,78.35,-65.5,90,top
C7,4u7,C_0805_2012Metric,95.6,-54.2,0,top
C8,4u7,C_0805_2012Metric,80.9,-56.425,90,top
C9,1u,C_0402_1005Metric,69.8,-69.7,-90,top
C10,100n,C_0402_1005Metric,96.2,-63,-90,top
C11,4u7,C_0805_2012Metric,68.25,-68.25,90,top
C12,100n,C_0402_1005Metric,83.35,-62,-90,top
C13,4u7,C_0805_2012Metric,81.85,-62.8,-90,top
C14,1u,C_0402_1005Metric,69.8,-67.75,90,top
C15,100n,C_0402_1005Metric,86.85,-53.8,90,top
C16,100n,C_0402_1005Metric,90,-54.55,180,top
C17,4u7,C_0805_2012Metric,97.7,-57,90,top
C18,100n,C_0402_1005Metric,96.2,-59.15,90,top
C19,100n,C_0402_1005Metric,94.18,-66.25,0,top
C22,33p C0G,C_0402_1005Metric,85,-50.75,90,top
C23,33p C0G,C_0402_1005Metric,81.2,-53.75,180,top
C24,100n,C_0402_1005Metric,79.4,-65.5,90,top
C25,100n,C_0402_1005Metric,82.25,-65.35,180,top
C26,1u,C_0402_1005Metric,93.3,-54.28,90,top
C27,4u7,C_0805_2012Metric,75.7,-68.55,-90,top
D2,LED,LED_0805_2012Metric,73.45,-50.95,180,top
D3,LED,LED_0805_2012Metric,73.45,-53.35,180,top
FB1,FerriteBead_Small,L_0603_1608Metric,78.35,-55.6,180,top
FB2,FerriteBead_Small,L_0603_1608Metric,80.1,-62.6375,-90,top
P1,USB_C_Plug_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,70.5,-60.5,-90,top
R1,10k,R_0603_1608Metric,87.15,-51.95,180,top
R2,2k2,R_0603_1608Metric,94,-51.5,90,top
R3,10k,R_0603_1608Metric,95.55,-51.5,90,top
R4,12k 1%,R_0603_1608Metric,79.15,-57.925,-90,top
R5,10k,R_0603_1608Metric,87.575,-50.4,180,top
R6,10k,R_0603_1608Metric,84,-64.55,-90,top
R7,56k,R_0603_1608Metric,77.6,-57.925,-90,top
R8,56k,R_0603_1608Metric,76.95,-61.95,-90,top
R11,330R,R_0603_1608Metric,77.7,-51.35,0,top
R14,330R,R_0603_1608Metric,77.7,-52.95,0,top
U1,XC6206PxxxMR,SOT-23-3,72.4375,-68.55,180,top
U4,93LCxxAxxOT,SOT-23-6,91.1,-51.5,180,top
U5,FT2232HQ,QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm,90.45,-60.5,0,top
Y1,"12.000 MHz,  C9002 ",Crystal_SMD_3225-4Pin_3.2x2.5mm,82.35,-51.5,180,top
